date,ghi,wind_speed,discharge,p,q,kva
2013-12-31 00:00:00,0.0,0.8,0.34661459899999997,19,9,21.02379604162864
2013-12-31 01:00:00,0.0,1.2,0.34661459899999997,18,8,19.697715603592208
2013-12-31 02:00:00,0.0,0.4,0.34661459899999997,19,12,22.47220505424423
2013-12-31 03:00:00,0.0,1.3,0.34661459899999997,17,11,20.248456731316587
2013-12-31 04:00:00,0.0,1.2,0.34661459899999997,21,10,23.259406699226016
2013-12-31 05:00:00,0.0,1.0,0.34661459899999997,47,5,47.265209192385896
2013-12-31 06:00:00,0.0,1.1,0.34661459899999997,43,3,43.104524124504614
2013-12-31 07:00:00,2.1,0.0,0.34661459899999997,49,10,50.00999900019995
2013-12-31 08:00:00,141.7,0.0,0.34661459899999997,34,12,36.05551275463989
2013-12-31 09:00:00,335.7,2.4,0.34661459899999997,55,9,55.731499172371095
2013-12-31 10:00:00,511.2,3.5,0.34661459899999997,60,25,65.0
2013-12-31 11:00:00,626.1,4.5,0.34661459899999997,56,30,63.52952069707436
2013-12-31 12:00:00,681.5,3.7,0.34661459899999997,79,21,81.74350127074322
2013-12-31 13:00:00,657.9,4.1,0.34661459899999997,43,26,50.24937810560445
2013-12-31 14:00:00,574.3,3.9,0.34661459899999997,41,14,43.32435804486894
2013-12-31 15:00:00,410.7,3.7,0.34661459899999997,25,12,27.730849247724095
2013-12-31 16:00:00,220.1,3.0,0.34661459899999997,38,15,40.85339643163099
2013-12-31 17:00:00,36.8,2.1,0.34661459899999997,42,5,42.2965719651132
2013-12-31 18:00:00,0.0,2.9,0.34661459899999997,68,0,68.0
2013-12-31 19:00:00,0.0,2.8,0.34661459899999997,55,2,55.036351623268054
2013-12-31 20:00:00,0.0,2.2,0.34661459899999997,48,2,48.041648597857254
2013-12-31 21:00:00,0.0,1.6,0.34661459899999997,31,7,31.78049716414141
2013-12-31 22:00:00,0.0,1.6,0.34661459899999997,26,4,26.30589287593181
2013-12-31 23:00:00,0.0,1.9,0.34661459899999997,21,3,21.213203435596427
2014-01-01 00:00:00,0.0,1.5,0.287510723,20,10,22.360679774997898
2014-01-01 01:00:00,0.0,0.8,0.287510723,19,9,21.02379604162864
2014-01-01 02:00:00,0.0,0.1,0.287510723,20,13,23.853720883753127
2014-01-01 03:00:00,0.0,1.5,0.287510723,18,12,21.633307652783937
2014-01-01 04:00:00,0.0,0.9,0.287510723,22,11,24.596747752497688
2014-01-01 05:00:00,0.0,1.3,0.287510723,48,6,48.373546489791295
2014-01-01 06:00:00,0.0,1.4,0.287510723,44,4,44.181444068749045
2014-01-01 07:00:00,1.9,1.5,0.287510723,50,11,51.19570294468082
2014-01-01 08:00:00,133.6,0.0,0.287510723,35,13,37.33630940518894
2014-01-01 09:00:00,327.7,2.0,0.287510723,56,10,56.88585061331157
2014-01-01 10:00:00,491.8,1.5,0.287510723,61,26,66.30987860040162
2014-01-01 11:00:00,624.8,1.7,0.287510723,57,31,64.88451279003334
2014-01-01 12:00:00,564.7,2.8,0.287510723,80,22,82.96987405076617
2014-01-01 13:00:00,318.5,1.3,0.287510723,44,27,51.62363799656123
2014-01-01 14:00:00,437.8,3.1,0.287510723,51,12,52.392747589718944
2014-01-01 15:00:00,71.3,0.8,0.287510723,54,14,55.78530272392541
2014-01-01 16:00:00,252.6,4.6,0.287510723,57,20,60.40695324215582
2014-01-01 17:00:00,36.5,2.0,0.287510723,75,14,76.2954782408499
2014-01-01 18:00:00,0.0,1.2,0.287510723,61,2,61.032778078668514
2014-01-01 19:00:00,0.0,1.7,0.287510723,49,1,49.01020301937138
2014-01-01 20:00:00,0.0,0.5,0.287510723,35,2,35.05709628591621
2014-01-01 21:00:00,0.0,0.6,0.287510723,29,4,29.274562336608895
2014-01-01 22:00:00,0.0,0.6,0.287510723,24,5,24.515301344262525
2014-01-01 23:00:00,0.0,1.5,0.287510723,22,3,22.20360331117452
2014-01-02 00:00:00,0.0,0.9,0.281732112,20,13,23.853720883753127
2014-01-02 01:00:00,0.0,0.9,0.281732112,19,10,21.470910553583888
2014-01-02 02:00:00,0.0,1.2,0.281732112,22,12,25.059928172283335
2014-01-02 03:00:00,0.0,1.6,0.281732112,17,9,19.235384061671343
2014-01-02 04:00:00,0.0,1.7,0.281732112,24,12,26.832815729997478
2014-01-02 05:00:00,0.0,1.7,0.281732112,45,8,45.70557952810576
2014-01-02 06:00:00,0.0,1.1,0.281732112,40,5,40.311288741492746
2014-01-02 07:00:00,2.0,1.0,0.281732112,41,11,42.44997055358225
2014-01-02 08:00:00,148.1,0.6,0.281732112,55,1,55.00909015790027
2014-01-02 09:00:00,343.5,1.1,0.281732112,71,55,89.81091247727082
2014-01-02 10:00:00,518.4,2.1,0.281732112,61,23,65.19202405202648
2014-01-02 11:00:00,631.1,2.7,0.281732112,50,14,51.92301994298868
2014-01-02 12:00:00,676.6,2.3,0.281732112,60,11,61.0
2014-01-02 13:00:00,664.1,3.1,0.281732112,64,41,76.00657866263946
2014-01-02 14:00:00,584.6,3.3,0.281732112,54,26,59.93329625508679
2014-01-02 15:00:00,136.5,2.2,0.281732112,61,18,63.60031446463138
2014-01-02 16:00:00,44.4,1.6,0.281732112,58,25,63.15853069855251
2014-01-02 17:00:00,17.1,0.1,0.281732112,46,2,46.04345773288535
2014-01-02 18:00:00,0.0,1.5,0.281732112,69,5,69.18092222571191
2014-01-02 19:00:00,0.0,2.0,0.281732112,62,3,62.07253821135398
2014-01-02 20:00:00,0.0,2.7,0.281732112,52,5,52.23983154643591
2014-01-02 21:00:00,0.0,2.5,0.281732112,34,8,34.92849839314596
2014-01-02 22:00:00,0.0,2.2,0.281732112,25,12,27.730849247724095
2014-01-02 23:00:00,0.0,0.0,0.281732112,23,9,24.698178070456937
2014-01-03 00:00:00,0.0,0.0,0.26589396600000004,21,11,23.706539182259394
2014-01-03 01:00:00,0.0,1.6,0.26589396600000004,24,5,24.515301344262525
2014-01-03 02:00:00,0.0,0.4,0.26589396600000004,21,7,22.135943621178654
2014-01-03 03:00:00,0.0,0.6,0.26589396600000004,23,6,23.769728648009426
2014-01-03 04:00:00,0.0,1.6,0.26589396600000004,21,11,23.706539182259394
2014-01-03 05:00:00,0.0,0.0,0.26589396600000004,41,10,42.20189569201838
2014-01-03 06:00:00,0.0,0.9,0.26589396600000004,48,6,48.373546489791295
2014-01-03 07:00:00,1.5,1.5,0.26589396600000004,36,8,36.87817782917155
2014-01-03 08:00:00,133.7,1.4,0.26589396600000004,52,22,56.462376853972415
2014-01-03 09:00:00,337.8,1.2,0.26589396600000004,66,31,72.91776189653656
2014-01-03 10:00:00,509.7,1.4,0.26589396600000004,64,26,69.07966415668217
2014-01-03 11:00:00,636.3,3.5,0.26589396600000004,58,32,66.24198064671678
2014-01-03 12:00:00,686.0,3.9,0.26589396600000004,60,41,72.67048919609665
2014-01-03 13:00:00,667.0,3.3,0.26589396600000004,76,28,80.99382692526635
2014-01-03 14:00:00,592.2,4.4,0.26589396600000004,64,26,69.07966415668217
2014-01-03 15:00:00,205.8,3.2,0.26589396600000004,66,28,71.69379331573968
2014-01-03 16:00:00,233.8,4.2,0.26589396600000004,51,17,53.75872022286245
2014-01-03 17:00:00,16.4,2.0,0.26589396600000004,51,9,51.78802950489621
2014-01-03 18:00:00,0.0,1.9,0.26589396600000004,68,6,68.26419266350405
2014-01-03 19:00:00,0.0,2.0,0.26589396600000004,55,1,55.00909015790027
2014-01-03 20:00:00,0.0,2.8,0.26589396600000004,47,7,47.51841748206689
2014-01-03 21:00:00,0.0,1.7,0.26589396600000004,31,5,31.400636936215164
2014-01-03 22:00:00,0.0,2.1,0.26589396600000004,28,9,29.410882339705484
2014-01-03 23:00:00,0.0,2.0,0.26589396600000004,23,5,23.53720459187964
2014-01-04 00:00:00,0.0,1.5,0.255841255,22,8,23.40939982143925
2014-01-04 01:00:00,0.0,2.3,0.255841255,20,5,20.615528128088304
2014-01-04 02:00:00,0.0,0.0,0.255841255,22,15,26.627053911388696
2014-01-04 03:00:00,0.0,1.4,0.255841255,19,10,21.470910553583888
2014-01-04 04:00:00,0.0,1.2,0.255841255,23,7,24.041630560342615
2014-01-04 05:00:00,0.0,0.0,0.255841255,38,2,38.05259518088089
2014-01-04 06:00:00,0.0,1.3,0.255841255,41,0,41.0
2014-01-04 07:00:00,1.5,0.4,0.255841255,42,11,43.41658669218482
2014-01-04 08:00:00,86.8,0.0,0.255841255,47,22,51.894122981316485
2014-01-04 09:00:00,276.2,1.2,0.255841255,59,45,74.2024258363566
2014-01-04 10:00:00,488.3,3.2,0.255841255,65,44,78.49203781276162
2014-01-04 11:00:00,600.8,2.8,0.255841255,53,13,54.57105459856901
2014-01-04 12:00:00,651.7,2.3,0.255841255,60,20,63.245553203367585
2014-01-04 13:00:00,636.1,3.8,0.255841255,73,35,80.95677859203639
2014-01-04 14:00:00,638.6,2.9,0.255841255,50,15,52.20153254455275
2014-01-04 15:00:00,403.8,2.1,0.255841255,65,20,68.00735254367721
2014-01-04 16:00:00,217.1,2.6,0.255841255,13,40,42.05948168962618
2014-01-04 17:00:00,38.0,2.2,0.255841255,56,19,59.135437767890075
2014-01-04 18:00:00,0.0,2.3,0.255841255,59,6,59.30430001273095
2014-01-04 19:00:00,0.0,2.5,0.255841255,58,1,58.008620049092706
2014-01-04 20:00:00,0.0,1.3,0.255841255,42,5,42.2965719651132
2014-01-04 21:00:00,0.0,1.4,0.255841255,31,9,32.28002478313795
2014-01-04 22:00:00,0.0,1.9,0.255841255,25,12,27.730849247724095
2014-01-04 23:00:00,0.0,1.6,0.255841255,20,10,22.360679774997898
2014-01-05 00:00:00,0.0,0.5,0.24523536899999998,21,12,24.186773244895647
2014-01-05 01:00:00,0.0,1.3,0.24523536899999998,20,10,22.360679774997898
2014-01-05 02:00:00,0.0,0.0,0.24523536899999998,21,11,23.706539182259394
2014-01-05 03:00:00,0.0,1.6,0.24523536899999998,18,9,20.12461179749811
2014-01-05 04:00:00,0.0,1.3,0.24523536899999998,20,10,22.360679774997898
2014-01-05 05:00:00,0.0,0.6,0.24523536899999998,37,4,37.21558813185679
2014-01-05 06:00:00,0.0,1.4,0.24523536899999998,40,3,40.11234224026316
2014-01-05 07:00:00,2.1,0.1,0.24523536899999998,41,10,42.20189569201838
2014-01-05 08:00:00,109.5,0.0,0.24523536899999998,45,16,47.75981574503821
2014-01-05 09:00:00,339.2,0.7,0.24523536899999998,63,33,71.11961754677819
2014-01-05 10:00:00,300.8,2.5,0.24523536899999998,65,35,73.824115301167
2014-01-05 11:00:00,664.8,2.4,0.24523536899999998,63,31,70.21395872616783
2014-01-05 12:00:00,517.3,2.1,0.24523536899999998,61,24,65.55150646628954
2014-01-05 13:00:00,623.2,3.0,0.24523536899999998,69,31,75.64390259630977
2014-01-05 14:00:00,622.7,2.2,0.24523536899999998,80,50,94.33981132056604
2014-01-05 15:00:00,421.0,3.6,0.24523536899999998,84,30,89.19641248391103
2014-01-05 16:00:00,230.6,4.1,0.24523536899999998,79,45,90.91754506144565
2014-01-05 17:00:00,29.0,2.3,0.24523536899999998,62,16,64.03124237432849
2014-01-05 18:00:00,0.0,2.9,0.24523536899999998,66,10,66.75327707311455
2014-01-05 19:00:00,0.0,2.3,0.24523536899999998,60,7,60.40695324215582
2014-01-05 20:00:00,0.0,1.2,0.24523536899999998,49,6,49.36598018878993
2014-01-05 21:00:00,0.0,2.2,0.24523536899999998,42,12,43.68065933568311
2014-01-05 22:00:00,0.0,3.7,0.24523536899999998,26,11,28.231188426986208
